"University Of Texas At Austin","Chemistry","PhD (F19)","Rejected"," E-mail","27 Mar 2019","","","","","","A","26 Mar 2019","Just says denied."
"Univ Of Colorado, Boulder","Chemistry (Physical)","PhD (F12)","Accepted"," E-mail","26 Jan 2012","","","","","","A","26 Jan 2012",""
"University Of Colorado - Boulder","Biochemistry And Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","","","","","","A","26 Jan 2012","Fellowship (26k)"
"Princeton University","Chemistry","PhD (F12)","Rejected"," E-mail","26 Jan 2012","","","","","","I","26 Jan 2012",""
"University Of Arizona - Tucson","Chemistry","PhD (F12)","Accepted"," Phone","26 Jan 2012","","","","","","A","26 Jan 2012",""
"Princeton University","Chemistry","PhD (F12)","Rejected"," E-mail","26 Jan 2012","  3.64","590","790","3.50","640","U","26 Jan 2012",""
"Princeton University","Chemistry","PhD (F12)","Rejected"," E-mail","26 Jan 2012","  3.84","154","170","3.50","880","I","26 Jan 2012",""
"University Of California - Los Angeles (UCLA)","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","  3.60","161","167","4.00","870","A","25 Jan 2012","A top choice of mine, yay! No stipend/fellowship info yet though, that's one part I'm worried about now..."
"U Of Wisconsin, Madison","Chemistry","PhD (F12)","Rejected"," E-mail","25 Jan 2012","  3.64","790","590","3.50","640","U","25 Jan 2012","was not so surprised but still..."
"University Of Colorado - Boulder","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","","","","","","A","25 Jan 2012","fellowship   TAship! ($26k)"
"University Of California - Los Angeles (UCLA)","Chemistry (Organic)","PhD (F12)","Accepted"," E-mail","25 Jan 2012","","","","","","A","25 Jan 2012",""
"University Of Notre Dame","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","","","","","","","25 Jan 2012",""
"Texas A&M (TAMU)","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","","","","","","A","25 Jan 2012",""
"Princeton University","Chemistry","PhD (F12)","Rejected"," E-mail","25 Jan 2012","  3.62","570","760","4.50","610","A","25 Jan 2012",""
"Tufts Universirty","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","  3.21","156","161","4.50","","A","25 Jan 2012","$27,000+ stipend"
"The University Of North Carolina At Chapel Hill (UNC)","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","A","25 Jan 2012",""
"Northwestern Univ.","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","A","25 Jan 2012",""
"Princeton University","Chemistry","PhD (F12)","Rejected"," E-mail","25 Jan 2012","","","","","","A","25 Jan 2012",""
"SUNY Stony Brook","Chemistry (Organic)","PhD (F12)","Accepted"," E-mail","25 Jan 2012","","","","","","A","25 Jan 2012",""
"Princeton University","Chemistry (Organic)","PhD (F12)","Rejected"," E-mail","25 Jan 2012","","","","","","A","25 Jan 2012",""
"Stony Brook University ( SUNY-SB)","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","  3.95","154","160","4.00","","A","25 Jan 2012","YAY! 4 for 4!"
"Yale Graduate School Of Arts And Sciences","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","","","","","","U","25 Jan 2012",""
"University Of British Columbia (UBC)","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","  3.96","157","166","4.00","920","I","25 Jan 2012","1st place at my school....No publications, Applied for M.Sc. but offered M.Sc. and Direct Ph.D."
"University Of Rhode Island","Chemistry","PhD (F12)","Accepted"," E-mail","13 Jan 2012","","","","","","A","25 Jan 2012",""
"The Scripps Research Institute","Chemistry (Organic)","PhD (F12)","Accepted"," E-mail","25 Jan 2012","  3.61","162","166","3.50","910","I","25 Jan 2012",""
"Rutgers (State University Of New Jersey) New Brunswick","Biochemistry And Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","I","25 Jan 2012","30k 2000 first year fellowship"
"Rutgers (State University Of New Jersey) New Brunswick","Biochemistry And Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","  3.53","640","800","3.50","92","I","25 Jan 2012","30k+2000 first year fellowship"
"California Institute Of Technology (Caltech)","Chemistry (Physical)","PhD (F12)","Accepted"," E-mail","25 Jan 2012","","","","","","A","25 Jan 2012",""
"University Of Colorado Boulder","Biochemistry And Chemistry","PhD (F12)","Interview"," E-mail","24 Jan 2012","  3.79","161","155","4.50","","A","25 Jan 2012","Interview weekend is March 9-11, optional second set of dates is March 16-17"
"University Of California Riverside (UCR)","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","  3.73","154","157","3.50","","A","25 Jan 2012","Eugene Cota Robles fellowship"
"New York University (NYU)","Chemistry (biophysical)","PhD (F12)","Accepted"," E-mail","23 Jan 2012","  3.20","670","760","5.00","690","A","25 Jan 2012",""
"Penn State","Chemistry (Analytical Chemistry)","PhD (F12)","Rejected"," E-mail","20 Jan 2012","  3.20","670","760","5.00","690","A","25 Jan 2012",""
"Vanderbilt","Chemistry,","PhD (F12)","Accepted"," E-mail","25 Jan 2012","","","","","","","25 Jan 2012",""
"Massachusetts Institute Of Technology (MIT)","Chemistry","PhD (F12)","Accepted"," Phone","25 Jan 2012","  3.90","710","790","5.00","820","A","25 Jan 2012","Heard back a lot later than everyone else I know, but really happy to be accepted!"
"University Of California  San Diego (UCSD)","Biochemistry And Chemistry","PhD (F12)","Accepted"," E-mail","24 Jan 2012","  3.62","154","165","3.50","610","A","24 Jan 2012",""
"University Of Illinois - Urbana Champaign","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","A","24 Jan 2012",""
"Brown University","Chemistry","PhD (S12)","Accepted"," Phone","24 Jan 2012","","","","","","U","24 Jan 2012",""
"Brown University","Chemistry","PhD (F12)","Accepted"," Phone","24 Jan 2012","  3.62","570","760","4.50","610","A","24 Jan 2012",""
"Massachusetts Institute Of Technology (MIT)","Chemistry","PhD (F12)","Accepted"," E-mail","24 Jan 2012","  3.99","680","790","4.50","860","A","24 Jan 2012","COMPLETELY SHOCKED"
"University Of California, Riverside (UCR)","Art Historyganic Chemistry","PhD (F12)","Accepted"," E-mail","24 Jan 2012","","","","","","A","24 Jan 2012","Awarded a Chancellor's Distinguished Fellowship. Cool!"
"University Of Pittsburgh","Chemistry","PhD (F12)","Accepted"," E-mail","24 Jan 2012","","","","","","A","24 Jan 2012",""
"Columbia (GSAS)","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","U","24 Jan 2012",""
"Harvard University","Chemistry (Physical)","PhD (F12)","Accepted"," Postal Service","24 Jan 2012","","","","","","A","24 Jan 2012",""
"Stanford University","Chemistry","PhD (F12)","Accepted"," Postal Service","24 Jan 2012","  4.00","700","800","3.50","790","U","24 Jan 2012",""
"University Of California, Irvine","Chemistry (Organic)","PhD (F12)","Accepted"," Phone","24 Jan 2012","","","","","","A","24 Jan 2012",""
"SUNY - Stony Brook University","Chemistry (Inorganic)","PhD (F12)","Accepted"," E-mail","24 Jan 2012","","","","","","A","24 Jan 2012",""
"University Of Florida (Gainesville)","Chemistry","PhD (F12)","Accepted"," E-mail","9 Jan 2012","","","","","","I","24 Jan 2012",""
"University Of California - Berkeley (UCB)","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","A","24 Jan 2012",""
"New York Univerity","Chemistry","PhD (F12)","Accepted"," E-mail","24 Jan 2012","","","","","","I","24 Jan 2012","it says the official letter will arrive within the next 1-2 weeks"
"New York University (NYU)","Chemistry","PhD (F12)","Accepted"," E-mail","24 Jan 2012","","","","","","I","24 Jan 2012","Emails from GSAS and a faculty member respectively"
"University Of Chicago","Chemistry","PhD (F12)","Rejected"," Postal Service","20 Jan 2012","","","","","","A","24 Jan 2012",""
"Purdue  University","Chemistry","PhD (F12)","Accepted"," E-mail","20 Jan 2012","","","","","","A","24 Jan 2012",""
"Princeton University","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","  3.93","800","700","3.50","790","U","23 Jan 2012",""
"Princeton University","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","  3.94","590","800","5.00","740","A","23 Jan 2012",""
"Scripps Research Institute","Chemistry","PhD (F12)","Interview"," E-mail","23 Jan 2012","  3.94","590","800","5.00","740","A","23 Jan 2012","For the La Jolla campus!"
"University Of Rochester","Chemistry (Inorganic)","PhD (F12)","Accepted"," E-mail","13 Jan 2012","","","","","","","23 Jan 2012","Visiting day on 3/17"
"Princeton University","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","  3.96","159","170","4.50","820","A","23 Jan 2012",""
"New York University (NYU)","Chemistry (Inorganic)","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","","23 Jan 2012","Letter with offer details by mail within the next 2 weeks."
"The University Of Texas At Austin","Biochemistry And Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","U","23 Jan 2012","First-year additional fellowship. (Note: average GRE scores, good GPA & recommendations, plus 3 years of research experience.)"
"Princeton University","Chemistry (Organic Chemistry)","PhD (F12)","Accepted"," E-mail","23 Jan 2012","  3.80","570","780","5.50","740","A","23 Jan 2012","Email from professor letting me know letter's were on the way."
"Princeton University","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","A","23 Jan 2012","Unofficial email from POIs with official to follow shortly"
"Princeton University","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","U","23 Jan 2012","email from POI"
"University Of California, Berkeley (UCB)","Chemistry (Organic)","PhD (F12)","Accepted"," Phone","23 Jan 2012","","","","","","A","23 Jan 2012","Phone call and email from professor mentioned in SOP."
"Harvard Graduate School Of Arts And Sciences (GSAS)","Chemistry And Chemical Biology (CCB)","PhD (F12)","Accepted"," Postal Service","23 Jan 2012","  3.96","159","170","4.50","820","A","23 Jan 2012",""
"Penn State","Chemistry","PhD (F12)","Rejected"," E-mail","19 Jan 2012","","","","","","A","23 Jan 2012",""
"Colorado State University","Chemistry","PhD (F12)","Accepted"," E-mail","21 Jan 2012","","","","","","A","23 Jan 2012",""
"California, Irvine (UCI)","Chemistry (Organic Chemistry)","PhD (F12)","Accepted"," Phone","20 Jan 2012","  3.80","570","780","5.50","740","A","23 Jan 2012","Called by professor I wrote about in personal statement."
"Scripps Research Institute","Chemistry (Organic Chemistry)","PhD (F12)","Accepted"," Phone","21 Jan 2012","  3.80","570","780","5.50","740","A","23 Jan 2012","Called on a Saturday night."
"Yale Graduate School Of Arts And Sciences","Chemistry (biophysical)","PhD (F12)","Accepted"," Phone","22 Jan 2012","  4.00","700","800","3.50","790","U","23 Jan 2012",""
"University Of Wisconsin, Madison","Environmental Chemistry And Technology","PhD (F12)","Accepted"," E-mail","22 Jan 2012","","","","","","A","22 Jan 2012",""
"Emory University&#8217;s Laney Graduate School","Chemistry","PhD (F12)","Other"," Website","22 Jan 2012","  3.60","560","790","3.50","870","I","22 Jan 2012",""
"Harvard Graduate School Of Arts And Sciences (GSAS)","Chemistry","PhD (F12)","Accepted"," E-mail","21 Jan 2012","","","","","","U","21 Jan 2012","dream comes true"
"Harvard University","Chemistry","PhD (F12)","Accepted"," Postal Service","21 Jan 2012","  3.90","710","790","5.00","820","A","21 Jan 2012","Wow wasn't really expecting this one."
"University Of Wisconsin, Madison","Chemistry (Physical)","PhD (F12)","Accepted"," E-mail","21 Jan 2012","","","","","","A","21 Jan 2012",""
"Texas  A&M University","Chemistry","PhD (F12)","Accepted"," Phone","20 Jan 2012","","","","","","U","21 Jan 2012",""
"Stanford University","Chemistry (Physical)","PhD (F12)","Accepted"," E-mail","20 Jan 2012","","","","","","A","21 Jan 2012",""
"University Of California, Los Angeles. (UCLA)","Chemistry","PhD (F12)","Accepted"," E-mail","21 Jan 2012","","","","","","A","21 Jan 2012","Official acceptance letters will be mailed soon"
"University Of Maryland College Park","Chemistry","PhD (F12)","Accepted"," E-mail","20 Jan 2012","  3.92","650","800","4.50","780","A","21 Jan 2012","$5000 fellowship in addition to stipend"
"University Of Maryland","Chemistry","PhD (F12)","Accepted"," E-mail","21 Jan 2012","","","","","","A","21 Jan 2012",""
"University California, Santa Barbara (UCSB)","Chemistry","PhD (F12)","Accepted"," E-mail","20 Jan 2012","  3.85","550","740","4.50","720","A","21 Jan 2012",""
"University of Texas, Austin (UT Austin)","Chemistry (Organic)","PhD (F12)","Accepted"," E-mail","20 Jan 2012","","","","","","A","20 Jan 2012","$2500 fellowship in addition to stipend"
"University Of Maryland (UMD), College Park","Chemistry","PhD (F12)","Accepted"," E-mail","20 Jan 2012","  3.60","161","167","4.00","870","A","20 Jan 2012",""
"North Carolina Sate University (NCSU)","Chemistry","PhD (F12)","Accepted"," E-mail","19 Jan 2012","  3.60","161","167","4.00","870","A","20 Jan 2012",""
"Columbia (GSAS)","Chemistry","PhD (F12)","Accepted"," E-mail","20 Jan 2012","","","","","","U","20 Jan 2012",""
"Columbia (GSAS)","Chemistry","PhD (F12)","Accepted"," E-mail","20 Jan 2012","  3.75","169","166","6.00","750","A","20 Jan 2012",""
"Northwestern University","Chemistry","PhD (F12)","Accepted"," E-mail","18 Jan 2012","  3.75","169","166","6.00","750","A","20 Jan 2012",""
"The University Of North Carolina At Chapel Hill (UNC)","Chemistry","PhD (F12)","Accepted"," E-mail","20 Jan 2012","  3.96","159","170","4.50","820","A","20 Jan 2012",""
"Purdue University - West Lafayette","Chemistry (Organic)","PhD (F12)","Accepted"," E-mail","20 Jan 2012"," ","710","730","4.50","","A","20 Jan 2012","Shocked to hear this early - their application isn't due until 2/15"
"University Of Michigan - Ann Arbor (Umich)","Chemistry","PhD (F12)","Accepted"," E-mail","20 Jan 2012","  3.96","159","170","4.50","820","A","20 Jan 2012","27.3K"
"Penn State","Chemistry","PhD (F12)","Accepted"," E-mail","20 Jan 2012","","","","","","U","20 Jan 2012",""
"Northwestern University","Chemistry","PhD (F12)","Accepted"," E-mail","19 Jan 2012","  3.60","165","164","4.50","700","A","20 Jan 2012",""
"University Of Oregon","Chemistry","PhD (F12)","Accepted"," E-mail","18 Jan 2012"," ","710","730","4.50","","A","20 Jan 2012",""
"University Of California - Irvine (UCI)","Chemistry And Biochemistry","PhD (F12)","Accepted"," Postal Service","19 Jan 2012","  3.62","165","154","3.50","610","A","20 Jan 2012",""
"Harvard Graduate School Of Arts And Sciences (GSAS)","Chemistry & Chemical Biology (CCB)","PhD (F12)","Accepted"," E-mail","20 Jan 2012","","","","","","I","20 Jan 2012",""
"North Carolina State University (NCSU)","Chemistry","PhD (F12)","Accepted"," E-mail","19 Jan 2012","","","","","","A","19 Jan 2012",""
"Georgia Tech","Chemistry","PhD (F12)","Accepted"," E-mail","19 Jan 2012","","","","","","A","19 Jan 2012","26K /yr"
"Harvard Graduate School Of Arts And Sciences (GSAS)","Chemistry And Chemical Biology","PhD (F12)","Accepted"," E-mail","19 Jan 2012","","","","","","I","19 Jan 2012",""
"University Of Washington, Seattle","Chemistry","PhD (F12)","Accepted"," E-mail","12 Jan 2012","  3.86","670","800","3.00","","I","19 Jan 2012","Speaking Section:26"
"Vanderbilt","Chemistry","PhD (F12)","Accepted"," E-mail","17 Jan 2012","  3.92","650","800","4.50","710","A","19 Jan 2012","Accepted without interview"
"Georgia Tech (gatech)","Chemistry","PhD (F12)","Accepted"," E-mail","18 Jan 2012","  3.95","160","154","4.00","","A","19 Jan 2012","$30,000+ year! So excited! 3 for 3!"
"Georgia Institute Of Technology","Chemistry","PhD (F12)","Accepted"," E-mail","18 Jan 2012","  3.60","690","780","3.50","","A","19 Jan 2012","24k TA and 5.5k per year fellowship. Visit March 15-17 or April 5-7."
"Georgia Institute Of Technology (GaTech)","Chemistry","PhD (F12)","Accepted"," E-mail","18 Jan 2012","  3.60","161","167","4.00","870","A","19 Jan 2012",""
"Univ California Irvine","Chemistry","PhD (F12)","Accepted"," Phone","18 Jan 2012","  4.00","580","800","3.50","910","A","19 Jan 2012",""
"Stanford University","Chemistry","PhD (F12)","Accepted"," Phone","19 Jan 2012","","","","","","A","19 Jan 2012",""
"University Of California - Irvine (UCI)","Chemistry","PhD (F12)","Accepted"," Postal Service","18 Jan 2012","  3.73","154","157","3.50","","A","18 Jan 2012","2 years research, all of the highest scholarships for chem at undergraduate institute. Did not take Chem GRE, must take it within first quarter."
